#pathway	P1-1	P1-2	P1-3	P2-1	P2-2	P2-3	P3-1	P3-2	P3-3
1CMET2-PWY	10524.2569	41324.2322	28225.6464	11235.9512	11863.1891	9362.048	14252.7577	6977.4425	15893.4302
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	353.3442	36.8058	876.4334	49.1029	103.2922	0.0	187.4366	0.0	1.3998
ALL-CHORISMATE-PWY	0.0	681.2985	2105.7635	0.0	864.0166	0.0	0.0	974.4185	4669.4778
ANAEROFRUCAT-PWY	13374.595	46880.4541	33616.6421	14457.5809	14447.6755	9967.9491	18103.4581	7947.6912	9177.119
ANAGLYCOLYSIS-PWY	14726.6577	56099.2479	40387.9827	16884.9065	16905.7455	11718.8673	19319.8063	9588.8285	21112.4283
ARG+POLYAMINE-SYN	7947.7573	26263.2295	17369.6401	10421.6605	9231.352	7563.4525	10979.3659	4497.0403	9719.4611
ARGDEG-PWY	0.0	25.1057	129.5874	0.0	0.0	0.0	0.0	0.0	51.4531
ARGORNPROST-PWY	3637.6747	12623.5822	9604.985	6267.6462	4967.4027	3351.2672	6258.0058	2897.1652	2198.9968
ARGSYN-PWY	13288.7912	48825.608	35624.913	14631.4626	15302.6363	10222.6549	17451.5017	7797.2918	17406.6499
ARGSYNBSUB-PWY	14258.6996	52327.6723	38166.2335	15553.0081	16430.1421	10873.3222	18722.7663	8317.5358	18818.2891
ARO-PWY	13671.1192	53001.3247	36766.4902	15974.3093	15952.6736	11196.0084	17762.2802	9117.3573	19736.4176
ASPASN-PWY	5005.8515	15656.0442	12803.8942	7627.7764	5865.9944	5280.5048	7358.9642	4119.0428	3998.2507
AST-PWY	0.0	63.5023	182.3842	689.3547	436.0843	0.3124	107.5159	195.7019	2940.8219
BIOTIN-BIOSYNTHESIS-PWY	4314.4927	23011.3823	11692.467	4692.6919	6721.7958	5494.4352	5460.4582	2877.6181	12940.2471
BRANCHED-CHAIN-AA-SYN-PWY	18559.1097	70875.5833	50748.0233	21871.3384	21456.1996	16229.952	24649.7632	11611.742	27237.3311
CALVIN-PWY	15202.5126	56970.7347	42164.8454	18211.261	17805.3397	12065.8173	20385.4302	10848.9242	20399.7002
CATECHOL-ORTHO-CLEAVAGE-PWY	221.1683	980.7905	710.1322	156.1394	418.2615	282.3463	389.6131	668.6208	177.5111
CENTBENZCOA-PWY	213.0	315.0	551.0	170.0	0.0	107.0	405.0	180.0	0.0
CENTFERM-PWY	7944.0947	24728.4244	16532.6553	8707.9108	7813.2478	5696.7989	9113.0205	5106.8166	451.7152
CHLOROPHYLL-SYN	106.138	834.0815	781.111	0.0	116.5317	214.2792	102.5374	116.9599	193.667
COA-PWY	13791.1523	51980.2116	37863.4204	16179.5494	15847.025	10869.6608	17873.5466	8879.8378	19275.4653
COBALSYN-PWY	6465.5604	26538.6802	16205.7103	6401.712	6641.137	4051.7764	7252.2303	4726.3554	5729.1898
CODH-PWY	8596.1586	25789.7447	20133.8683	10078.1101	9061.6876	8820.4102	12058.4115	4262.048	3673.2466
COLANSYN-PWY	10086.9434	35946.105	26968.9983	9698.9556	10893.9542	6491.2383	12792.6273	6225.3744	12016.6323
COMPLETE-ARO-PWY	14574.7938	56307.4659	39113.7625	16988.2366	17011.6719	12021.4747	18981.5841	9572.2143	21072.4875
CRNFORCAT-PWY	288.8974	558.5382	1350.3538	0.0	749.6138	1002.2189	1539.645	1541.2954	0.0
DAPLYSINESYN-PWY	8611.4405	40202.422	25316.715	10668.9181	11612.6043	7718.8772	11633.7761	6714.1814	16091.1416
DENITRIFICATION-PWY	7.9804	475.4531	648.4661	336.0148	88.2857	86.9008	65.3366	53.632	1626.8726
DENOVOPURINE2-PWY	12555.8455	43330.6526	33571.9653	14846.2638	14145.6782	8385.0541	15155.6758	7804.8604	12114.1932
DHGLUCONATE-PYR-CAT-PWY	0.0	7.4884	0.0	139.5265	99.8842	0.0	127.7647	117.3798	0.0
DTDPRHAMSYN-PWY	12426.7795	46294.5637	35330.9408	11731.241	12832.4809	6986.6827	15800.0805	7840.2419	21169.9214
ECASYN-PWY	0.0	19.1297	16.0053	1000.5331	0.0	0.0	0.0	0.0	2.1208
ENTBACSYN-PWY	0.0	1890.7727	297.1446	0.0	3561.8839	0.0	0.0	443.8032	4967.448
FAO-PWY	12157.4132	47313.7393	30898.2959	13933.4887	14571.9459	11325.4609	15862.5119	7121.3384	19239.2106
FASYN-ELONG-PWY	17337.5117	72652.9303	43355.7532	22094.1766	20584.6194	20179.3257	24697.5212	9845.1581	22895.9743
FASYN-INITIAL-PWY	4253.4888	23312.3729	11149.2635	4238.4775	7808.4204	5482.6238	4934.0229	2909.1685	15346.2333
FERMENTATION-PWY	6567.2492	29044.1749	19232.7257	10636.7766	9485.9778	8419.4767	10604.6043	4989.5703	10252.8712
FOLSYN-PWY	10217.6542	40875.7229	26039.3641	12025.3257	11716.1473	9614.1239	13787.5183	6846.8885	15874.4242
FUC-RHAMCAT-PWY	0.0	0.0	32.707	897.0449	68.1832	0.0	0.0	0.0	0.0
FUCCAT-PWY	57.9874	148.6169	357.9032	955.548	122.525	0.0	203.3262	3.9928	67.8998
GALACT-GLUCUROCAT-PWY	801.8693	3272.0484	2178.1701	2112.4112	1829.0838	391.3198	671.7022	1259.8325	494.758
GALACTARDEG-PWY	674.5804	1383.0738	1531.4382	865.1917	648.3784	138.1995	780.1143	576.223	295.1094
GALACTUROCAT-PWY	1978.7824	8070.4341	5008.5845	2815.1931	3176.9049	1295.3695	2119.3373	1954.7726	2314.9435
GALLATE-DEGRADATION-I-PWY	0.0	652.7269	0.0	0.0	12.5	150.498	0.0	78.0	0.0
GALLATE-DEGRADATION-II-PWY	0.0	652.7269	0.0	0.0	12.5	150.498	0.0	78.0	0.0
GLCMANNANAUT-PWY	696.9657	3654.8729	3384.0312	1324.8385	1826.0784	322.2408	1548.1176	518.6954	233.0175
GLUCARDEG-PWY	674.5804	1383.0738	1531.4382	865.1917	648.3784	138.1995	780.1143	576.223	295.1094
GLUCARGALACTSUPER-PWY	674.5804	1383.0738	1531.4382	865.1917	648.3784	138.1995	780.1143	576.223	295.1094
GLUCONEO-PWY	12708.2021	46546.4808	34477.082	15239.7393	14773.0605	10191.5822	16833.4312	9108.5425	17683.0125
GLUCOSE1PMETAB-PWY	255.7347	2344.633	1726.8296	1242.3329	1879.847	0.0	118.0407	481.6548	5777.6499
GLUCUROCAT-PWY	703.4719	3401.9132	2113.8499	2148.903	2595.5658	760.6582	599.9514	1704.3	544.4018
GLUTORN-PWY	11173.292	44727.5055	29655.0912	12054.0093	12683.3593	9435.2794	14672.5253	6881.2163	17669.3332
GLYCOCAT-PWY	8137.7623	33053.8252	23621.7454	9078.6821	10076.2927	6484.2987	9205.672	5508.9786	12941.0277
GLYCOGENSYNTH-PWY	12260.2177	43853.0434	32033.2809	13765.2893	13679.0855	10064.5686	14818.4233	7821.8933	13516.9587
GLYCOL-GLYOXDEG-PWY	0.0	0.0	172.2898	806.0829	37.2676	216.0511	0.0	0.0	0.0
GLYCOLYSIS	14826.2624	54032.3132	40316.3671	16650.5357	17067.3522	12022.5268	19380.7016	10019.9657	18478.1927
GLYCOLYSIS-E-D	9701.7871	36773.3775	26599.8391	10962.3259	12795.2882	6083.4896	13391.351	7340.9163	12835.6473
GLYCOLYSIS-TCA-GLYOX-BYPASS	10633.006	38483.7001	26136.9559	12297.6606	12161.5425	9756.225	14315.9117	6221.783	11777.0844
GLYOXYLATE-BYPASS	6520.1677	23572.9357	15186.4159	7973.6394	8361.1303	7215.1257	9289.0557	4169.02	9709.7365
GOLPDLCAT-PWY	864.1709	1608.2668	1600.7109	636.5519	707.806	0.0	582.2799	800.2845	74.0979
HCAMHPDEG-PWY	128.3375	847.4178	496.3764	102.8501	106.1308	135.2696	64.0035	0.0	0.0
HEME-BIOSYNTHESIS-II	8406.456	28460.5017	19476.4651	10166.6996	9586.8425	9148.4573	11674.4984	3883.5867	11099.3762
HEMESYN2-PWY	9994.9579	41511.9081	26564.1675	11742.3427	12099.0894	10151.8535	13628.2228	5938.4534	15812.9362
HEXITOLDEGSUPER-PWY	2707.7456	6550.1886	5180.9255	3136.0886	2856.0481	734.3878	2899.6524	609.5437	279.7455
HISDEG-PWY	6593.6316	23104.1573	16945.4486	8562.7707	7511.9012	5806.1296	9053.596	4046.2534	8442.9886
HISTSYN-PWY	12471.0763	48549.1145	32688.6471	15469.5117	14484.3648	11453.2011	16503.7346	8214.7423	18834.7847
HOMOSER-METSYN-PWY	5696.9903	21436.7374	14579.4331	8429.9771	7729.3522	6294.6861	8390.4674	4712.3856	6183.1078
HSERMETANA-PWY	6175.4916	27260.3673	16574.0155	6116.1465	7700.5544	6919.1502	8941.9325	3478.1012	10574.1764
ILEUSYN-PWY	18116.7095	71961.9174	50197.8742	22672.6834	21176.0776	16990.44	24497.56	12391.7352	27889.307
KDO-NAGLIPASYN-PWY	1035.0063	6610.5744	4496.9174	2660.9368	3668.0035	0.0	657.8336	443.1513	1768.8333
KETOGLUCONMET-PWY	233.3785	461.8035	717.5607	127.667	439.2913	213.3931	363.5707	1235.2814	0.0
LACTOSECAT-PWY	0.0	340.3037	222.3098	135.7119	101.5102	156.9227	40.3528	89.8496	0.0
LEU-DEG2-PWY	2703.7877	13402.9768	7605.8341	2401.238	4544.6179	2493.6966	4275.5943	2237.2037	9749.1089
LIPASYN-PWY	0.0	635.475	259.4932	134.7174	190.8993	0.4165	27.7215	107.3437	0.0
MET-SAM-PWY	7943.1352	29523.49	20561.3049	11290.7977	10376.5943	7899.6507	11232.2332	6338.0236	9739.3492
METH-ACETATE-PWY	5890.3857	18384.5063	14687.2611	5983.5528	6180.59	3718.6921	7005.7826	3699.7797	394.2578
METHANOGENESIS-PWY	1412.7291	2334.3497	4134.6956	2146.1896	1728.5506	432.7157	1279.6971	533.0587	81.0853
